0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 1
26 0
27 1
28 0
29 1
30 1
31 4
32 7
33 14
34 15
35 22
36 30
37 48
38 62
39 59
40 78
41 97
42 132
43 155
44 166
45 214
46 280
47 296
48 292
49 356
50 368
51 377
52 392
53 428
54 458
55 439
56 466
57 437
58 420
59 406
60 381
61 410
62 359
63 322
64 298
65 294
66 236
67 196
68 209
69 166
70 117
71 111
72 87
73 74
74 56
75 47
76 30
77 25
78 23
79 15
80 9
81 4
82 1
83 3
84 2
85 1
86 0
87 1
88 1
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
