0 81
1 117
2 101
3 120
4 88
5 97
6 97
7 114
8 105
9 100
10 92
11 104
12 97
13 104
14 88
15 106
16 88
17 102
18 109
19 114
20 89
21 85
22 83
23 95
24 85
25 99
26 109
27 96
28 91
29 94
30 104
31 94
32 84
33 98
34 88
35 105
36 115
37 116
38 100
39 97
40 93
41 99
42 74
43 108
44 103
45 90
46 98
47 94
48 110
49 96
50 82
51 103
52 105
53 92
54 122
55 101
56 101
57 119
58 109
59 85
60 103
61 86
62 120
63 100
64 110
65 113
66 102
67 108
68 91
69 111
70 99
71 101
72 96
73 98
74 90
75 112
76 99
77 114
78 93
79 101
80 103
81 96
82 96
83 87
84 111
85 102
86 106
87 108
88 89
89 92
90 103
91 90
92 115
93 114
94 111
95 101
96 99
97 99
98 111
99 85
