0 110
1 103
2 112
3 110
4 103
5 98
6 83
7 101
8 108
9 96
10 106
11 99
12 97
13 96
14 105
15 99
16 96
17 108
18 106
19 101
20 112
21 95
22 79
23 97
24 115
25 108
26 99
27 108
28 94
29 100
30 105
31 95
32 93
33 96
34 116
35 96
36 93
37 106
38 107
39 88
40 87
41 85
42 96
43 107
44 83
45 94
46 89
47 96
48 92
49 115
50 104
51 110
52 110
53 94
54 87
55 105
56 102
57 107
58 94
59 90
60 105
61 83
62 93
63 95
64 113
65 125
66 98
67 95
68 100
69 93
70 110
71 98
72 98
73 101
74 110
75 94
76 94
77 86
78 117
79 98
80 103
81 84
82 75
83 99
84 110
85 85
86 99
87 107
88 118
89 102
90 102
91 96
92 101
93 87
94 103
95 109
96 113
97 97
98 97
99 121
